2023-05-06 22:06:27	GetDLPosition 호출 함
2023-05-06 22:06:27	GetDLSize 호출 함
2023-05-06 22:06:27	로컬 Connect 함
2023-05-06 22:06:33	스톱 PLC 운전 모드 변경
2023-05-06 22:06:41	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:06:41	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:06:41	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:06:41	모니터 시작
2023-05-06 22:06:41	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:06:41	런 PLC 운전 모드 변경
2023-05-06 22:08:15	모니터 끝
2023-05-06 22:08:16	로컬 Disconnect 함
2023-05-06 22:09:23	GetDLPosition 호출 함
2023-05-06 22:09:23	GetDLSize 호출 함
2023-05-06 22:09:23	로컬 Connect 함
2023-05-06 22:09:26	모니터 시작
2023-05-06 22:09:26	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:10:50	모니터 끝
2023-05-06 22:10:51	로컬 Disconnect 함
2023-05-06 22:10:57	로컬 Connect 함
2023-05-06 22:10:57	모니터 시작
2023-05-06 22:11:41	로컬 Disconnect 함
2023-05-06 22:14:15	로컬 Connect 함
2023-05-06 22:14:15	모니터 시작
2023-05-06 22:14:17	로컬 Disconnect 함
2023-05-06 22:14:40	로컬 Connect 함
2023-05-06 22:14:40	모니터 시작
2023-05-06 22:15:23	로컬 Disconnect 함
2023-05-06 22:16:12	로컬 Connect 함
2023-05-06 22:16:12	모니터 시작
2023-05-06 22:16:29	로컬 Disconnect 함
2023-05-06 22:16:33	GetDLPosition 호출 함
2023-05-06 22:16:33	GetDLSize 호출 함
2023-05-06 22:16:33	로컬 Connect 함
2023-05-06 22:16:39	스톱 PLC 운전 모드 변경
2023-05-06 22:16:47	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:16:47	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:16:47	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:16:47	모니터 시작
2023-05-06 22:16:47	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:16:47	런 PLC 운전 모드 변경
2023-05-06 22:18:13	모니터 끝
2023-05-06 22:18:15	로컬 Disconnect 함
2023-05-06 22:21:25	로컬 Connect 함
2023-05-06 22:21:25	모니터 시작
2023-05-06 22:22:31	로컬 Disconnect 함
2023-05-06 22:23:20	GetDLPosition 호출 함
2023-05-06 22:23:20	GetDLSize 호출 함
2023-05-06 22:23:20	로컬 Connect 함
2023-05-06 22:23:40	스톱 PLC 운전 모드 변경
2023-05-06 22:23:48	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:23:48	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:23:48	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:23:48	모니터 시작
2023-05-06 22:23:48	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:23:48	런 PLC 운전 모드 변경
2023-05-06 22:24:01	모니터 끝
2023-05-06 22:24:04	모니터 시작
2023-05-06 22:24:04	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:25:28	모니터 끝
2023-05-06 22:25:29	로컬 Disconnect 함
2023-05-06 22:28:10	GetDLPosition 호출 함
2023-05-06 22:28:10	GetDLSize 호출 함
2023-05-06 22:28:10	로컬 Connect 함
2023-05-06 22:28:16	스톱 PLC 운전 모드 변경
2023-05-06 22:28:23	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:28:23	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:28:23	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:28:23	모니터 시작
2023-05-06 22:28:23	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:28:24	런 PLC 운전 모드 변경
2023-05-06 22:30:12	모니터 끝
2023-05-06 22:30:14	로컬 Disconnect 함
2023-05-06 22:33:02	GetDLPosition 호출 함
2023-05-06 22:33:02	GetDLSize 호출 함
2023-05-06 22:33:02	로컬 Connect 함
2023-05-06 22:33:08	스톱 PLC 운전 모드 변경
2023-05-06 22:33:16	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:33:16	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:33:16	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:33:16	모니터 시작
2023-05-06 22:33:16	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:33:16	런 PLC 운전 모드 변경
2023-05-06 22:35:02	모니터 끝
2023-05-06 22:35:03	로컬 Disconnect 함
2023-05-06 22:37:46	GetDLPosition 호출 함
2023-05-06 22:37:46	GetDLSize 호출 함
2023-05-06 22:37:46	로컬 Connect 함
2023-05-06 22:38:09	스톱 PLC 운전 모드 변경
2023-05-06 22:38:16	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:38:16	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:38:16	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:38:16	모니터 시작
2023-05-06 22:38:16	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:38:17	런 PLC 운전 모드 변경
2023-05-06 22:40:39	모니터 끝
2023-05-06 22:40:40	로컬 Disconnect 함
2023-05-06 22:41:11	GetDLPosition 호출 함
2023-05-06 22:41:11	GetDLSize 호출 함
2023-05-06 22:41:11	로컬 Connect 함
2023-05-06 22:41:16	스톱 PLC 운전 모드 변경
2023-05-06 22:41:24	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:41:24	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:41:24	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:41:24	모니터 시작
2023-05-06 22:41:24	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:41:24	런 PLC 운전 모드 변경
2023-05-06 22:41:55	모니터 끝
2023-05-06 22:41:57	로컬 Disconnect 함
2023-05-06 22:42:07	GetDLPosition 호출 함
2023-05-06 22:42:07	GetDLSize 호출 함
2023-05-06 22:42:07	로컬 Connect 함
2023-05-06 22:42:12	스톱 PLC 운전 모드 변경
2023-05-06 22:42:20	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-06 22:42:20	쓰기의 프로그램&파라미터 쓰기 함
2023-05-06 22:42:20	쓰기의 기본 또는 링크 파라미터 함
2023-05-06 22:42:20	모니터 시작
2023-05-06 22:42:20	런중수정 중 PLC CheckSum 비교함
2023-05-06 22:42:20	런 PLC 운전 모드 변경
2023-05-06 22:43:39	모니터 끝
2023-05-06 22:43:40	로컬 Disconnect 함
2023-05-07 20:36:49	로컬 Connect 함
2023-05-07 20:36:49	모니터 시작
2023-05-07 20:37:21	로컬 Disconnect 함
2023-05-08 17:21:52	GetDLPosition 호출 함
2023-05-08 17:21:52	GetDLSize 호출 함
2023-05-08 17:21:52	로컬 Connect 함
2023-05-08 17:21:59	스톱 PLC 운전 모드 변경
2023-05-08 17:22:07	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-08 17:22:07	쓰기의 프로그램&파라미터 쓰기 함
2023-05-08 17:22:07	쓰기의 기본 또는 링크 파라미터 함
2023-05-08 17:22:07	모니터 시작
2023-05-08 17:22:07	런중수정 중 PLC CheckSum 비교함
2023-05-08 17:22:07	런 PLC 운전 모드 변경
2023-05-08 17:24:01	모니터 끝
2023-05-08 17:24:02	로컬 Disconnect 함
2023-05-08 17:26:12	GetDLPosition 호출 함
2023-05-08 17:26:12	GetDLSize 호출 함
2023-05-08 17:26:12	로컬 Connect 함
2023-05-08 17:26:15	모니터 시작
2023-05-08 17:26:15	런중수정 중 PLC CheckSum 비교함
2023-05-08 17:27:08	모니터 끝
2023-05-08 17:27:09	로컬 Disconnect 함
2023-05-08 17:30:07	GetDLPosition 호출 함
2023-05-08 17:30:07	GetDLSize 호출 함
2023-05-08 17:30:07	로컬 Connect 함
2023-05-08 17:30:13	스톱 PLC 운전 모드 변경
2023-05-08 17:30:21	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-08 17:30:21	쓰기의 프로그램&파라미터 쓰기 함
2023-05-08 17:30:21	쓰기의 기본 또는 링크 파라미터 함
2023-05-08 17:30:21	모니터 시작
2023-05-08 17:30:21	런중수정 중 PLC CheckSum 비교함
2023-05-08 17:30:21	런 PLC 운전 모드 변경
2023-05-08 17:32:56	모니터 끝
2023-05-08 17:32:57	로컬 Disconnect 함
2023-05-08 17:43:06	GetDLPosition 호출 함
2023-05-08 17:43:06	GetDLSize 호출 함
2023-05-08 17:43:06	로컬 Connect 함
2023-05-08 17:43:21	스톱 PLC 운전 모드 변경
2023-05-08 17:43:28	쓰기의 프로그램&파라미터 쓰기에서 업로드 파일 쓰기 함
2023-05-08 17:43:28	쓰기의 프로그램&파라미터 쓰기 함
2023-05-08 17:43:28	쓰기의 기본 또는 링크 파라미터 함
2023-05-08 17:43:28	모니터 시작
2023-05-08 17:43:28	런중수정 중 PLC CheckSum 비교함
2023-05-08 17:43:29	런 PLC 운전 모드 변경
2023-05-08 17:45:22	모니터 끝
2023-05-08 17:45:23	로컬 Disconnect 함
2023-05-08 17:46:43	GetDLPosition 호출 함
2023-05-08 17:46:43	GetDLSize 호출 함
2023-05-08 17:46:43	로컬 Connect 함
2023-05-08 17:46:53	스톱 PLC 운전 모드 변경
